title,company,min_exp,max_exp,location,skills,posted_days
Business Intelligence Analyst,Alrium,0,2,['Bengaluru'],"['business intelligence analyst', 'business intelligence', 'business analysis', 'intelligence']",3.0
"Business Intelligence Data Analyst,Global Solutions & Risk Compliance",Amazon,3,8,['Bengaluru'],"['supply chain', 'cloud computing', 'advanced analytics', 'data management', 'data modeling', 'test design', 'data integrity', 'data visualization']",
Senior Analyst - Forensics - Forensics - Investigations & Compliance,EY,0,2,['Bengaluru'],"['assurance', 'compliance', 'senior analyst', 'client servicing', 'analytical', 'focus', 'agile', 'manager technology']",7.0
Senior Analyst - ASU - Forensics - Investigations & Compliance,EY,0,2,['Bengaluru'],"['assurance', 'compliance', 'senior analyst', 'client servicing', 'analytical', 'focus', 'agile', 'manager technology']",7.0
"Data Business Analyst - Business Analyst (Finance,Risk)",Photon,5,10,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['business process', 'loans', 'financial reporting', 'data management', 'gap analysis', 'ifrs', 'risk management', 'operations']",
Walk In - Clinical Data Analyst- B.Pharm/ M. Pharm - Freshers,Clininfotech,0,1,"['Bengaluru', 'Hyderabad/Secunderabad', 'Pune']","['clinical research', 'internship', 'pharma', 'clinical data management', 'biotechnology', 'pharmaceutics', 'microbiology', 'pharmacology']",7.0
Data Analyst Trainee,Straive (formerly Spi Global),0,1,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['python', 'css', 'data analysis', 'natural language processing', 'numpy', 'machine learning', 'research', 'javascript']",1.0
Data Analyst,Egon Zender,0,5,"['Bengaluru', 'Noida', 'Hyderabad', 'Gurugram', 'Delhi / NCR', 'Mumbai (All Areas)']","['data quality', 'data analysis', 'power bi', 'data management', 'data cleansing', 'data visualization', 'tableau', 'data analytics']",7.0
Sr Analyst - India Finance Team,Unitedlex,0,1,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['sap', 'journal entries', 'senior analyst', 'litigation', 'analytical', 'reconciliation', 'cost reduction', 'oracle']",21.0
"Client Solutions Group Data Steward, Analyst",Goldman Sachs,0,5,['Bengaluru'],"['automation', 'data management', 'wealth management', 'analytical', 'mutual funds', 'reconciliation', 'asset management', 'macros']",
Data Scientist/ Pricing Analyst - Personalised Pricing,CareerFit.ai,3,6,['Bengaluru'],"['product engineering', 'data science', 'machine learning', 'programming', 'revenue management', 'pricing analyst', 'analytics', 'inventory']",
Senior Business Analyst - Payer Platforms,Citiustech,9,14,"['Bengaluru', 'Pune', 'Chennai']","['claims', 'facets', 'healthcare', 'medicare', 'healthrules', 'enrollment', 'medicaid', 'qnxt']",1.0
SR. ODOO Business Analyst / ODOO Implementation Specialist,Netzwerk.Ai,10,15,"['Bengaluru', 'Coimbatore']","['odoo erp', 'configuration plans', 'odoo erp implementations', 'solution design documents', 'uat', 'business analysis', 'workflows', 'process mapping']",1.0
GN SC&O - S&P Business Solutions Configuration Senior Analyst,Accenture,3,7,"['Bengaluru', 'New Delhi', 'Gurugram']","['presentation skills', 'business solutions', 'business analysis', 's2p', 'coupa', 'vendor management', 'contract management', 'project management']",2.0
Senior Technical Research Analyst (Computer Science),Punarsynaptics Technologies,0,1,['Bengaluru'],"['machine learning', 'mern stack', 'technical research', 'computer vision', 'python', 'css', 'research analysis', 'artificial intelligence']",1.0
Financial Analysis Specialist,"NTT DATA, Inc.",0,3,['Bengaluru'],"['data analysis', 'pricing analysis', 'presentation skills', 'accounting', 'ca', 'financial analysis', 'us gaap', 'auditing']",4.0
Financial Analyst,AMERICAN EXPRESS,0,4,['Bengaluru'],"['analytical skills', 'career development', 'rca', 'interpersonal skills', 'automation', 'process improvement', 'finance', 'wellness']",2.0
Financial Plan & Analysis New Associate,Accenture,0,1,['Bengaluru'],"['forecasting', 'variance analysis', 'budgeting', 'financial planning', 'financial planning and analysis', 'financial analysis', 'accounts receivable', 'accounts payable']",3.0
Insurance domain Business Analyst with Data projects,"NTT DATA, Inc.",5,10,['Bengaluru'],"['data management', 'presentation skills', 'data migration', 'underwriting', 'claims', 'natural language processing', 'predictive analytics', 'guidewire']",7.0
Junior Business Analyst,Save Solutions,0,2,['Bengaluru(Sector 7 HSR Layout)'],"['presentation skills', 'financial analysis', 'excel', 'powerpoint', 'financial reporting', 'word', 'fund raising', 'reporting']",3.0
Executive Business Analyst,Epicminds Information Technology,0,1,['Bengaluru(Basaveshwara Nagar)'],"['good communication in english', 'report generation', 'database management', 'analytical reports', 'stakeholder management', 'operations management', 'reporting', 'analytical']",7.0
Business Analyst,Globussoft,0,1,['Bengaluru'],"['client management', 'project billing', 'business requirements', 'project procurement', 'project planning', 'management', 'planning', 'procurement']",7.0
Business Analyst - Male candidates,Accrete Globus Technology,0,2,['Bengaluru(JP Nagar)'],"['gap analysis', 'erp implementation', 'requirement gathering', 'client interaction', 'client management', 'product implementation', 'requirement analysis', 'client handling']",7.0
Securities Research Analyst,Wells Fargo,0,1,['Bengaluru'],"['securities research', 'securities investment research', 'transaction analysis', 'accounting', 'lbo modelling', 'irr analysis', 'modeling', 'investment']",14.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['tableau', 'project management', 'training and development', 'requirement analysis', 'business intelligence', 'data analysis', 'business consulting', 'presentation skills']",3.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['tableau', 'project management', 'training and development', 'requirement analysis', 'business intelligence', 'data analysis', 'business consulting', 'aioc-s01578969']",3.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['tableau', 'project management', 'training and development', 'requirement analysis', 'business intelligence', 'aioc-s01578970', 'data analysis', 'business consulting']",3.0
Senior Business Analyst,Tata Consultancy Services,10,16,['Bengaluru'],"['otc derivatives', 'business analysis', 'capital market', 'business analyst', 'clearing and settlement', 'uml diagrams', 'settlement systems', 'trade life cycle']",3.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['talent management', 'talent acquisition', 'hr generalist activities', 'employee engagement', 'corporate hr', 'employee relations', 'strategic hr', 'performance management']",3.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'recruitment', 'telecom', 'training need analysis', 'project management', 'behavioural training', 'training management']",4.0
"Talent Acquisition Junior Analyst, NCT",Deutsche Bank,0,3,['Bengaluru'],"['screening', 'hrsd', 'talent acquisition', 'data modeling', 'recruitment', 'joining formalities', 'hr generalist activities', 'esic']",1.0
PAS Global Immigration - Advanced Analyst,EY,0,7,['Bengaluru'],"['assurance', 'political science', 'networking', 'process improvement', 'billing', 'consulting', 'manager technology', 'growth strategy']",1.0
Law - ILMS - Advanced Analyst,EY,0,3,['Bengaluru'],"['administration', 'assurance', 'usage', 'pdf', 'networking', 'consulting', 'legal research', 'manager technology']",1.0
Model Risk Program Analyst,JPMorgan Chase Bank,0,2,['Bengaluru'],"['stress testing', 'model validation', 'compliance', 'financial products', 'cre', 'model development', 'business strategy', 'risk management']",2.0
Data Analyst with expertise in business analysis and sql,BCE Global Technology Centre,8,13,['Bengaluru'],"['data analysis', 'business analysis', 'sql', 'data', 'analysis']",14.0
Senior Analyst Business Insights (Finance),Inmobi,2,4,['Bengaluru'],"['anaplan', 'python', 'modeling', 'advanced excel', 'business insights', 'power bi', 'dashboards', 'bi']",
Sr Analyst I Finance Business Partner,DXC Technology,8,12,['Bengaluru'],"['cash collection', 'social media', 'finance', 'billing', 'revenue recognition', 'strategic planning', 'financial modelling', 'operations']",
Senior Analyst - Business Insights (Finance),Inmobi,2,7,['Bengaluru'],"['analyst', 'san', 'financial statements', 'consulting', 'weaving', 'data visualization', 'advertising', 'financial modelling']",
Sr Analyst II Finance Business Partner,DXC Technology,3,8,['Bengaluru'],"['cash collection', 'social media', 'finance', 'billing', 'revenue recognition', 'strategic planning', 'financial modelling', 'operations']",
Business Analyst - Accounts Receivable Module,iRely,0,2,['Bengaluru'],"['product management', 'business process', 'forex', 'ms sql', 'business analyst', 'diversity and inclusion', 'cash management', 'erp implementation']",
Business Analyst-Accounts Receivable Module,iRely,0,2,['Bengaluru'],"['product management', 'business process', 'forex', 'ms sql', 'diversity and inclusion', 'senior business analyst', 'cash management', 'erp implementation']",
Business Analyst-Accounts Receivable,iRely,0,2,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['product management', 'business process', 'forex', 'ms sql', 'diversity and inclusion', 'senior business analyst', 'cash management', 'erp implementation']",
Business Analyst,ti Steps,0,2,"['Bengaluru', 'Hyderabad', 'Chennai']","['business analytics', 'requirement gathering', 'workflow', 'requirement analysis', 'business analysis', 'analytics', 'requirements', 'analysis']",21.0
Data Research Analyst,Juego Studio,0,2,['Bengaluru'],"['online research', 'qa', 'focus', 'data collection', 'data research analyst', 'commerce', 'crm management', 'research']",
Business Analyst,Incanus Technologies,0,4,"['Hybrid - Bengaluru', 'Hyderabad', 'Delhi / NCR']","['excel', 'sql', 'python', 'power bi', 'bi', 'business analysis']",14.0
Business Analyst/Marketing Analyst,Modus Business Transformation Platform,0,5,['Hybrid - Bengaluru(Koramangala)'],"['marketing', 'communication skills', 'presentation skills', 'business analyst', 'presentation', 'business analysis', 'market analysis']",14.0
Business Analyst,Zolve Innovations,0,4,['Bengaluru'],"['loans', 'excel', 'data modeling', 'database design', 'healthcare', 'data quality', 'analytics', 'sql']",
Business Analyst,WebSenor,0,2,['Bengaluru'],"['pdf', 'excel', 'business analyst', 'analytical', 'saas', 'agile methodology', 'jira', 'documentation tools']",
Operations Business Analyst,Saveo,0,4,['Bengaluru'],"['supply chain', 'procurement', 'data analysis', 'change management', 'project management', 'process improvement', 'analytical', 'risk management']",
Business Analyst Training,Bacentric,0,4,"['Bengaluru', 'Hyderabad', 'Pune', 'Chennai']","['training', 'customer service', 'business analyst', 'business analysis']",
Business Analyst,Hexira Digital,0,2,['Bengaluru'],"['computer science', 'data analysis', 'business analysis', 'agile', 'workflow', 'project planning', 'visio', 'business intelligence']",
Business Analyst Junior,Appzoc,0,1,['Bengaluru'],"['vendor management', 'project management', 'documentation', 'business analysis', 'process improvement', 'budgeting', 'strategic planning', 'operations']",
Market Research Data Analyst,Robas Research,0,2,['Bengaluru'],"['usage', 'market research', 'data analyst', 'management', 'analytics', 'data analysis', 'research', 'data']",
Business Analyst,Capitalxai,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['analytical skills', 'market analysis', 'business analyst', 'business analysis', 'business finance', 'analytical', 'machine learning', 'market research']",
Business Analyst,Vmock,0,2,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['analytical skills', 'business analyst', 'customer satisfaction', 'machine learning', 'customer experience', 'business intelligence', 'content development', 'analytics']",
Business Analyst Lead: Technical Support,Artex Risk Solutions,0,2,['Bengaluru'],"['business analysis', 'project management', 'consulting', 'project planning', 'business intelligence', 'risk management', 'technical support', 'monitoring']",
Business Analyst,NXG World,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['business analyst', 'business analysis']",
Business Analyst,Xiphias Software Technologies,0,3,"['Bengaluru', 'Bengaluru']","['closing', 'cold calling', 'dealing', 'prospecting', 'client development', 'new business', 'preparing mis', 'telesales']",
Business Analyst,LeadWinner,0,2,['Bengaluru'],"['front end', 'dom', 'web services', 'time management', 'javascript', 'html', 'application development', 'mvc']",
Business Analyst,Arokia It,0,2,['Bengaluru'],"['sql database', 'business analyst', 'conflict management', 'time management', 'analytical', 'customer service', 'testing', 'software testing']",
Business Analyst,Appsource Services,0,3,['Bengaluru'],"['translation', 'business analyst', 'investment research', 'time management', 'inspection', 'system development', 'research', 'management']",
Senior Analyst,Deloitte Consulting,0,1,['Bengaluru'],"['business process', 'erp', 'assurance', 'sap', 'cisa', 'analytical', 'iso 27001', 'manager quality control']",
Analyst - Business Systems,Apex Group,0,2,"['Bengaluru', 'Pune']","['application support', 'manager internal audit', 'automation', 'talent acquisition', 'process improvement', 'analytical', 'troubleshooting', 'recruitment']",
Associate Business Analyst,Signzy,0,1,['Bengaluru'],"['business process', 'networking', 'bfsi', 'mysql', 'system integration', 'javascript', 'gap analysis', 'mongodb']",
Business Intelligence Analyst,ti Steps,0,2,"['Bengaluru', 'Hyderabad', 'Chennai']","['excel', 'power bi', 'visualization tools', 'data modeling', 'sql', 'azure cloud', 'microsoft azure', 'intelligence']",14.0
Business Analyst,Xiphias Software Technologies,0,3,['Bengaluru'],"['cold calling', 'client development', 'business analyst', 'telesales', 'scheduling', 'mis preparation', 'management', 'business executive']",
Associate / Analyst - Wholesale Business,Credit Saison,0,2,['Bengaluru'],"['financial statements', 'due diligence', 'associate analyst', 'financial analysis', 'cash flow statement', 'credit assessment', 'financial modelling', 'sme finance']",
Data Analyst (Kannada Speakers),Peroptyx,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['repair', 'research analysis', 'teaching', 'training', 'analysis', 'research', 'sales', 'automobile']",1.0
Data Analyst (Punjabi Speakers),Peroptyx,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['repair', 'research analysis', 'teaching', 'training', 'analysis', 'research', 'sales', 'automobile']",1.0
Data Analyst (Odia Speakers),Peroptyx,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['repair', 'research analysis', 'teaching', 'training', 'analysis', 'research', 'sales', 'automobile']",1.0
Data Analyst (Marathi Speakers),Peroptyx,0,3,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['repair', 'research analysis', 'teaching', 'training', 'analysis', 'research', 'sales', 'automobile']",1.0
Senior Business Analyst - Digital Transformation & AI,TE Connectivity,6,11,['Bengaluru'],"['it business analysis', 'data analysis', 'data analytics', 'stakeholder management', 'analysis tools', 'rpa', 'natural language processing', 'gap analysis']",7.0
Senior Business Analyst,Equiniti India,12,14,['Bengaluru'],"['delivery management', 'business analyst', 'business analysis', 'agile', 'business process mapping', 'scrum', 'continuous improvement', 'release management']",4.0
Senior Business Analyst,Equiniti India,12,14,['Bengaluru'],"['delivery management', 'business analyst', 'business analysis', 'agile', 'business process mapping', 'scrum', 'continuous improvement', 'release management']",4.0
Senior Business Analyst,Meesho,2,7,['Bengaluru'],"['advance sql', 'python', 'business analysis', 'sql', 'advanced excel', 'project management', 'business management', 'business development']",7.0
SAP Commerce Senior Business Analyst,Robert Bosch Engineering and Business Solutions Private Limited,10,15,"['Bengaluru', 'Hosur']","['order management', 'product management', 'data cleansing', 'erp', 'sap', 'data management', 'consulting', 'customer support']",7.0
Business Advisory Senior Analyst,Accenture,5,8,['Bengaluru'],"['business advisory', 'sql', 'core banking', 'consumer banking', 'quantitative analysis', 'management consulting', 'retail banking', 'project management']",14.0
Technology and Transformation - EAD-AI/ML-Generative AI-Analyst,Deloitte Consulting,0,5,['Bengaluru'],"['data analysis', 'senior analyst', 'machine learning', 'manager technology', 'technology management', 'machine', 'data', 'transformation']",3.0
Senior Specialist - Business Analysis,Mindtree,7,11,"['Bengaluru', 'Noida', 'Kolkata', 'Mumbai', 'Hyderabad', 'Chennai', 'Coimbatore']","['version control', 'business analyst', 'business analysis', 'financial sector', 'business rules', 'pega', 'scrum', 'data mapping']",7.0
Senior Specialist - Business Analysis,Mindtree,7,11,"['Bengaluru', 'Mumbai', 'Navi Mumbai', 'Hyderabad', 'Pune', 'Chennai']","['version control', 'business analyst', 'business analysis', 'financial sector', 'business rules', 'pega', 'scrum', 'data mapping']",7.0
Senior Technical Business Analyst,Citiustech,5,9,"['Hybrid - Bengaluru', 'Pune', 'Chennai']","['requirement gathering', 'user stories', 'requirement analysis', 'technical documentation', 'business requirement analysis', 'api documentation', 'business system analyst', 'api']",7.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['talent development', 'case management', 'compensation', 'acquisition', 'training need analysis', 'pega prpc', 'employee relations', 'business analysis']",7.0
"Business Operations Analyst, Senior",Qualcomm,6,11,['Bengaluru'],"['multitasking', 'erp systems', 'vba', 'advanced excel', 'business operations', 'advexcel', 'erp', 'sap']",7.0
Business Advisory Senior Analyst,Accenture,5,8,['Bengaluru'],"['risk management', 'business advisory', 'accounting', 'corporate planning', 'corporate strategy', 'management consulting', 'project management', 'business strategy']",7.0
Business Advisory Senior Analyst,Accenture,5,8,['Bengaluru'],"['supply chain', 'business advisory', 'master data management', 'mdm', 'corporate strategy', 'management consulting', 'project management', 'business strategy']",7.0
Business Advisory Senior Analyst,Accenture,5,8,['Bengaluru'],"['project management', 'system management', 'business advisory', 'core banking', 'corporate strategy', 'management consulting', 'business strategy', 'business analysis']",14.0
Technical Analyst 1-Support,Oracle,0,2,['Bengaluru'],"['problem management', 'change management', 'customer support', 'incident management', 'application support', 'accounts payable', 'sap', 'purchase']",5.0
Technical Analyst 1-Support,Oracle,0,2,['Bengaluru'],"['problem management', 'change management', 'customer support', 'incident management', 'application support', 'accounts payable', 'sap', 'purchase']",5.0
Regulatory Filtering Analyst,Deutsche Bank,0,5,"['Hybrid - Bengaluru', 'Jaipur']","['sanction screening', 'swift', 'sanction', 'transaction screening', 'screening', 'aml', 'payments', 'swift messaging']",7.0
Intern Analyst,Wells Fargo,0,2,"['Bengaluru', 'Hyderabad']","['risk management', 'proactive monitoring', 'customer relationship', 'problem management', 'incident management', 'regulatory compliance', 'risk identification', 'relationship']",4.0
Senior Business Intelligence Analyst,TE Connectivity,4,6,['Bengaluru'],"['dashboard development', 'power bi', 'sql', 'tableau', 'data visualization', 'macros', 'software development', 'sql queries']",7.0
"Business Research Analyst I, ARTS",Amazon,2,7,['Bengaluru'],"['supply chain', 'data analysis', 'sas', 'business analysis', 'data modeling', 'workflow', 'oracle', 'continuous improvement']",21.0
"Business Research Analyst - I, ARTS",Amazon,3,6,['Bengaluru'],"['supply chain', 'data analysis', 'sas', 'business analysis', 'data modeling', 'workflow', 'oracle', 'continuous improvement']",
"Business Research Analyst - II, RBS",Amazon,4,9,['Bengaluru'],"['supply chain', 'computer vision', 'business analysis', 'project management', 'analytical', 'machine learning', 'data mining', 'sql']",
"Business Research Analyst-II, RBS Size/Fit",Amazon,3,6,['Bengaluru'],"['product management', 'computer vision', 'business research analyst', 'business analysis', 'project management', 'analytical', 'machine learning', 'data mining']",
"Business Research Analyst, RBS",Amazon,1,6,['Bengaluru'],"['product management', 'supply chain', 'business analysis', 'project management', 'analytical', 'machine learning', 'data mining', 'sql']",
"Business Research Analyst - II, RBS ACCX Program",Amazon,3,8,['Bengaluru'],"['automation', 'data analysis', 'sas', 'data modeling', 'machine learning', 'agile', 'oracle', 'data mining']",
"Business Research Analyst - II, RBS Tech",Amazon,3,8,['Bengaluru'],"['product management', 'business analysis', 'project management', 'analytical', 'machine learning', 'data mining', 'release management', 'sql']",
Business Research Analyst,Amazon,3,8,['Bengaluru'],"['computer vision', 'operational excellence', 'business research analyst', 'analytical', 'machine learning', 'junior research analyst', 'release management', 'sql']",14.0
Analyst - Finance Advisory,KPMG India,0,3,['Bengaluru'],"['python', 'data analysis', 'team management', 'management skills', 'windows xp', 'us healthcare', 'presentation skills', 'business analysis']",21.0
DE&A - Core - Advanced Data Engineering - Business Analyst,Zensar,2,5,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['analytical skills', 'data analysis', 'software packages', 'sas', 'analytical', 'data collection', 'market research', 'statistical software']",21.0
"Financial Analyst I, FOAA Payroll Accounting team",Amazon,0,4,['Bengaluru'],"['data analysis', 'payroll', 'excel', 'financial reporting', 'project management', 'reconciliation', 'financial planning', 'oracle']",
Analyst III Finance Information System,DXC Technology,0,1,['Bengaluru'],"['information system', 'basic', 'data analysis', 'data management', 'cisa', 'system maintenance', 'financial reporting', 'social media']",14.0
Analyst - Finance Advisory,KPMG India,0,3,['Bengaluru'],"['networking', 'focus', 'manager technology', 'financial analyst', 'professional services', 'international clients', 'advisory', 'auditing']",21.0
Financial Controller - Analyst,JPMorgan Chase Bank,0,6,['Bengaluru'],"['analytical skills', 'front office', 'financial control', 'operating systems', 'accounting', 'finance', 'reconciliation', 'database']",14.0
Financial Analyst,eClerx,0,1,['Bengaluru'],"['investment banking', 'good communication in english', 'kyc aml', 'finance', 'fresher', 'derivatives', 'kyc', 'english']",
Analyst | Strategy | Finance Transformation,Deloitte Consulting,0,2,['Bengaluru'],"['senior analyst', 'finance', 'analysis', 'financial transformation', 'transformation', 'senior']",14.0
"Business Analyst - II, Selling Partner Support",Amazon,3,8,['Bengaluru'],"['business analyst', 'financial analysis', 'analytical', 'machine learning', 'analyst ii', 'data visualization', 'data mining', 'operations']",1.0
"Business Functional Analyst, AVP",Deutsche Bank,6,11,['Bengaluru'],"['python', 'data manipulation', 'sql', 'data visualization', 'agile methodology', 'bpmn', 'project management', 'confluence']",1.0
Technical Business Analyst,TEKsystems,8,13,['Hybrid - Bengaluru'],"['api documentation', 'xml', 'api integration', 'sql', 'api exceptions', 'json', 'data mapping', 'data']",1.0
"HCM Business Advisory Analyst, NCT",Deutsche Bank,1,4,['Bengaluru'],"['oracle', 'business advisory', 'servicenow', 'hcm', 'oracle peoplesoft', 'accounts receivable', 'accounts payable', 'erp']",1.0
HCM Business Advisory Analyst Offbording Team,Deutsche Bank,2,6,['Bengaluru'],"['business advisory', 'hcm', 'corporate planning', 'advanced excel', 'corporate strategy', 'management consulting', 'project management', 'business strategy']",1.0
"HCM Business Advisory Analyst Offboarding Team, AS",Deutsche Bank,2,6,['Bengaluru'],"['business advisory', 'hcm', 'corporate planning', 'advanced excel', 'corporate strategy', 'management consulting', 'project management', 'business strategy']",1.0
Business Analyst - L4,Wipro,5,8,['Bengaluru'],"['project management', 'business analysis', 'root cause analysis', 'integration testing', 'rfp', 'charts', 'client engagement', 'test cases']",1.0
Business Analyst- P&C Domain - Location- PAN India,Cognizant,3,8,"['Bengaluru', 'Gurugram', 'Chennai']","['general insurance', 'property and casualty insurance', 'business analysis', 'property', 'property', 'p', 'c', 'general']",1.0
T&T | Manager | Business Analyst,Deloitte Consulting,8,10,['Bengaluru'],"['demand estimation', 'business administration', 'semiconductor', 'big data analytics', 'demand forecasting', 'consulting', 'machine learning', 'manager technology']",1.0
Business Analysts/Product Owner,HARMAN,6,10,['Bengaluru'],"['project management', 'cyber security', 'gap analysis', 'documentation', 'customer engagement', 'business analysis', 'uat', 'networking']",1.0
ERP HCM Business Analyst,Hexaware Technologies,9,12,"['Bengaluru', 'Pune', 'Chennai']","['peopletools', 'application engine', 'integration broker', 'peoplesoft', 'peoplecode', 'rest', 'erp', 'peoplesoft technical']",3.0
Opportunity For ServiceNow -Business Analyst- Manager - PAN India,Genpact,8,13,"['Bengaluru', 'Pune', 'Delhi / NCR']","['business analytics', 'servicenow', 'jira', 'itil', 'business analysis', 'pan', 'analytics', 'management']",1.0
Associate Research Analyst,Clarivate,0,0,['Bengaluru'],"['research analysis', 'research reports', 'secondary research', 'ms office suite', 'research methodology', 'proposal writing', 'equity research', 'market research']",14.0
Associate Research Analyst,Clarivate,0,2,['Bengaluru'],"['market research', 'ms office products', 'testing tools', 'recruitment', 'crm', 'analysts', 'pharmaceutical', 'project management']",14.0
Data Analyst Intern (UnPaid),Saveo,0,1,['Bengaluru'],"['data analysis', 'python', 'data analytics', 'natural language processing', 'data mining', 'power bi', 'business analysis', 'pivot table']",4.0
Senior Business Analyst,BNP Paribas,7,11,['Bengaluru'],"['process analysis', 'archer', 'grc', 'project life cycle', 'qualys', 'risk management', 'project management', 'nexpose']",21.0
Senior - Business Analyst,KPMG India,2,5,['Bengaluru'],"['remediation', 'root cause analysis', 'data analysis', 'kaizen', 'regulatory reporting', 'business analysis', 'senior business analyst', 'international clients']",
Senior Business Analyst -Product Marketing,Infineon,2,4,['Bengaluru'],"['computer science', 'product management', 'data analysis', 'automation', 'semiconductor', 'data management', 'analytical', 'data quality']",
Senior Product Control IT Business Analyst,Emagine Infotech Software,3,6,"['Bengaluru', 'Kolkata', 'Mumbai', 'New Delhi', 'Hyderabad', 'Pune', 'Chennai']","['python', 'data analysis', 'stakeholder management', 'power bi', 'data', 'product control', 'business analysis', 'senior']",
Senior Product Control IT Business Analyst Kostas team,Emagine Infotech Software,3,6,['Bengaluru'],"['python', 'environment', 'leadership', 'communication skills', 'senior', 'product control', 'control', 'team']",
"Sr Business Analyst, Amazon",Amazon,5,10,['Bengaluru'],"['assistant manager operations', 'metadata', 'business analyst', 'financial analysis', 'analytical', 'machine learning', 'data visualization', 'monitoring']",
Senior Business Analyst,Haier Appliances,5,8,"['Bengaluru', 'Hyderabad']","['business process', 'supply chain', 'order management', 'process automation', 'process optimization', 'project management', 'machine learning', 'agile']",
Senior Business Analyst,BNP Paribas,7,11,['Bengaluru'],"['process analysis', 'archer', 'grc', 'project life cycle', 'qualys', 'risk management', '199845152', 'project management']",21.0
Senior Business Analyst - Collateral - Global Markets IT,BNP Paribas,6,11,['Bengaluru'],"['business analysis', 'sql', 'visio', 'amadeus', 'agile', 'project management', 'strategic sourcing', 'international ticketing']",21.0
Senior Business Analyst,Omega Healthcare,2,4,['Bengaluru'],"['business analysis', 'market research', 'it enabled services', 'business operations', 'crm', 'project management', 'gap analysis', 'power bi']",1.0
Senior Business Analysis - Product owner,Capco,7,12,['Bengaluru'],"['business analysis', 'user stories', 'sprint planning', 'product vision', 'agile', 'management consulting', 'product strategy', 'project management']",
Senior Business Analyst,CGI,6,11,['Hybrid - Bengaluru'],"['it business analysis', 'application lifecycle management', 'trade life cycle', 'scrum', 'agile', 'sqlite', 'business analysis', 'functional testing']",14.0
Senior R&D Technologist - Clinical Business Analyst,ZS,3,6,"['Bengaluru', 'Pune']","['automation', 'sas', 'business analysis', 'pharma', 'consulting', 'financial planning', 'oracle', 'risk management']",14.0
Senior Business Analyst,Zeta Inc.,5,8,"['Bengaluru', 'Pune']","['analytical skills', 'business administration', 'business analyst', 'saas', 'cloud', 'data analytics', 'stakeholder management', 'core banking']",
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'talent acquisition', 'recruitment', 'talent engagement', 'project management', 'program management', 'presales']",21.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'talent acquisition', 'recruitment', 'talent engagement', 'project management', 'program management', 'training']",21.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'talent acquisition', 'recruitment', 'training need analysis', 'project management', 'behavioural training', 'training management']",21.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'talent acquisition', 'recruitment', 'otc', 'accounts receivable', 'project management', 'program management']",21.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'talent development', 'talent acquisition', 'recruitment', 'talent engagement', 'project management', 'team management', 'program management']",21.0
Business Interlock Senior Analyst,Accenture,5,8,['Bengaluru'],"['business analysis', 'hrsd', 'human resource management', 'talent development', 'recruitment', 'hr generalist activities', 'employee relations', 'corporate hr']",21.0
T&T - Customer - CS&D - Senior Consultant | Business Analyst,Deloitte Consulting,1,5,['Bengaluru'],"['change management', 'data management', 'performance management', 'tdd', 'machine learning', 'agile', 'business intelligence', 'jira']",21.0
