title,company,experience,location,description,skills,posted
Analyst,Cargill,2-7 Yrs,Bengaluru,Minimum Qualifications. High school diploma or equivalentMinimum 2 years of relevant ex...,"accounting, quality management, ohsas 18001, quality assurance, qms, financial analysis, session management, project management",1 day ago
SDC - FinOps Analyst,Stripe,5-7 Yrs,Bengaluru,. Job type. Full timeMinimum requirementsPreferred qualificationsThe ability to exercis...,"Procurement, Payroll, Operational excellence, Financial reporting, Coding, Invoice processing, Billing, Strategic sourcing",1 day ago
Analyst-Mobility,Goldman Sachs,1-6 Yrs,Bengaluru,"Divisional responsibility for managing their mobile populations, including determinin...","Relationship management, Analytical skills, Payroll, Diversity and Inclusion, Wellness, Growth strategy, Investment banking, Investment management",1 week ago
Analyst,Dentsu Global Services,0-1 Yrs,"Bengaluru, Gurugram, Chennai",Flexible to work across different time zones / shifts (including night shift) . Educati...,"Digital Marketing, Excel, Powerpoint, Digital, Marketing, Analysis",2 weeks ago
Metadata analyst,Data and AI Based organisation,5-8 Yrs,Hybrid - Bengaluru,Data Integration experience to source metadata from enterprise systems into Collibra th...,"Metadata Management, Metadata, Data Catalog, collibra, Data Governance, Data, Governance, Analysis",2 days ago
Analyst,Goldman Sachs,1-3 Yrs,Bengaluru,Bachelor s degree in a relevant fieldRequired Skills & Experience: . 1 3 years of expe...,"python, project management, confluence, process design, manual testing, power bi, business analysis, sql",2 days ago
Analyst,Cargill,2-7 Yrs,Bengaluru,Minimum Qualifications . High school diploma or equivalentMinimum 2 years of relevant e...,"SAP, Senior Analyst, Management systems, Transport management, Management, Troubleshooting, Freight, Monitoring",2 days ago
PPSM Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Qualification . Any GraduationSkill required: Sales Oper...,"six sigma, sap, lean six sigma, presentation skills, lean, erp, service operations, service management",3 days ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Responsibilities- Please note MS Excel skills is very must -Advance excel added advanta...,"client handling, customer service, legal services, expense management, email management, legal research, llb, legal documentation",1 week ago
FinOps Analyst,Grant Thornton India Pvt Ltd,0-1 Yrs,Bengaluru,"Work in collaboration with other ICS functional groups (CR&M, P&C, M&S, Recruiting) to ...","Expense management, Analytical, Billing, microsoft, Operations, Analytics, Auditing, CRM",3+ weeks ago
