title,company,experience,location,description,skills,posted
Data Scientist/ Pricing Analyst - Personalised Pricing,CareerFit.ai,3-6 Yrs,Bengaluru,"Design and execute pricing A / B tests, analyzing lift, revenue impact, and user experi...","Product engineering, data science, Machine learning, Programming, Revenue management, Pricing Analyst, Analytics, Inventory",3+ weeks ago
Senior Business Analyst - Payer Platforms,Citiustech,9-14 Yrs,"Bengaluru, Pune, Chennai","Responsibilities: - Demonstrate deep understanding in Payor workflows such as Claims,...","Claims, Facets, Healthcare, Medicare, HealthRules, Enrollment, Medicaid, Qnxt",1 day ago
SR. ODOO Business Analyst / ODOO Implementation Specialist,Netzwerk.Ai,10-15 Yrs,"Bengaluru, Coimbatore","You will act as a key advisor to clients, ensuring their business processes are effecti...","Odoo ERP, configuration plans, Odoo ERP implementations, solution design documents, UAT, business analysis, workflows, process mapping",1 day ago
GN SC&O - S&P Business Solutions Configuration Senior Analyst,Accenture,3-7 Yrs,"Bengaluru, New Delhi, Gurugram",Well versed with Coupa data model and table structure across the entire S2P cycle Condu...,"presentation skills, business solutions, business analysis, s2p, coupa, vendor management, contract management, project management",2 days ago
Senior Technical Research Analyst (Computer Science),Punarsynaptics Technologies,0-1 Yrs,Bengaluru,Minimum 60% marks in both UG and PG. Required Skills,"Machine Learning, Mern Stack, Technical Research, Computer Vision, Python, CSS, Research Analysis, Artificial Intelligence",1 day ago
Financial Analysis Specialist,"NTT DATA, Inc.",0-3 Yrs,Bengaluru,. Undergraduate degree or equivalent combination of education and work experience . Mus...,"data analysis, pricing analysis, presentation skills, accounting, ca, financial analysis, us gaap, auditing",4 days ago
Financial Analyst,AMERICAN EXPRESS,0-4 Yrs,Bengaluru,"As part of Team Amex, youll experience this powerful backing with comprehensive support...","Analytical skills, Career development, RCA, Interpersonal skills, Automation, Process improvement, Finance, Wellness",2 days ago
Financial Plan & Analysis New Associate,Accenture,0-1 Yrs,Bengaluru,Qualifications: BCom / Any Graduation Skill required: Financial Planning & Analysis - F...,"forecasting, variance analysis, budgeting, financial planning, financial planning and analysis, financial analysis, accounts receivable, accounts payable",3 days ago
Insurance domain Business Analyst with Data projects,"NTT DATA, Inc.",5-10 Yrs,Bengaluru,"Bachelors degree in information technology, Computer Science, or a related field advanc...","data management, presentation skills, data migration, underwriting, claims, natural language processing, predictive analytics, guidewire",1 week ago
Junior Business Analyst,Save Solutions,0-2 Yrs,Bengaluru(Sector 7 HSR Layout),"Support fundraising, reporting, and analysis. Prepare proposals, reports, and presentat...","Presentation Skills, Financial Analysis, Excel, Powerpoint, Financial Reporting, Word, Fund Raising, Reporting",3 days ago
Executive Business Analyst,Epicminds Information Technology,0-1 Yrs,Bengaluru(Basaveshwara Nagar),Employment Type : 3 Months Internship (conversion to a full-time role based on performa...,"Good Communication In English, Report Generation, Database Management, Analytical Reports, Stakeholder Management, Operations Management, Reporting, Analytical",1 week ago
Business Analyst,Globussoft,0-1 Yrs,Bengaluru,"Qualifications & Skills: . Education: Bachelors degree in Business, Computer science, o...","Client Management, Project Billing, Business Requirements, Project Procurement, Project Planning, Management, Planning, Procurement",1 week ago
Business Analyst - Male candidates,Accrete Globus Technology,0-2 Yrs,Bengaluru(JP Nagar),"Bachelors degree in IT, Business, or related field. . 06months internship in Business A...","Gap Analysis, ERP Implementation, Requirement Gathering, Client Interaction, Client Management, Product Implementation, Requirement Analysis, Client Handling",1 week ago
Securities Research Analyst,Wells Fargo,0-1 Yrs,Bengaluru,"There is emphasis on proactive monitoring, governance, risk identification and escalati...","Securities Research, Securities Investment research, transaction analysis, accounting, LBO modelling, IRR analysis, Modeling, Investment",2 weeks ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"tableau, project management, training and development, requirement analysis, business intelligence, data analysis, business consulting, presentation skills",3 days ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"tableau, project management, training and development, requirement analysis, business intelligence, data analysis, business consulting, AIOC-S01578969",3 days ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"tableau, project management, training and development, requirement analysis, business intelligence, AIOC-S01578970, data analysis, business consulting",3 days ago
Senior Business Analyst,Tata Consultancy Services,10-16 Yrs,Bengaluru,Overall 10+ years experience with an understanding of new / existing regulatory require...,"Otc Derivatives, Business Analysis, Capital Market, Business Analyst, Clearing and settlement, Uml Diagrams, settlement systems, Trade Life Cycle",3 days ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Talent Development - Instructor-Led Trai...,"talent management, talent acquisition, hr generalist activities, employee engagement, corporate hr, employee relations, strategic hr, performance management",3 days ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Talent Development - Instructor-Led Training (ILT). .,"business analysis, talent development, recruitment, telecom, training need analysis, project management, behavioural training, training management",4 days ago
"Talent Acquisition Junior Analyst, NCT",Deutsche Bank,0-3 Yrs,Bengaluru,"Flexible with US shifts, considering the incumbent will be a part of the US teamBackgro...","screening, hrsd, talent acquisition, data modeling, recruitment, joining formalities, hr generalist activities, esic",1 day ago
PAS Global Immigration - Advanced Analyst,EY,0-7 Yrs,Bengaluru,"Graduation in relevant field (Travel & Tourism, Social & Political science, Arts, Comme...","Assurance, Political science, Networking, Process improvement, Billing, Consulting, Manager Technology, Growth strategy",1 day ago
Law - ILMS - Advanced Analyst,EY,0-3 Yrs,Bengaluru,The preparation of cases would require the Attorney to Learn immigration p...,"Administration, Assurance, Usage, PDF, Networking, Consulting, Legal research, Manager Technology",1 day ago
Model Risk Program Analyst,JPMorgan Chase Bank,0-2 Yrs,Bengaluru,"Required Skills, Experience and Qualifications: . Master s degree in a quantitative fie...","Stress testing, model validation, Compliance, financial products, CRE, model development, Business strategy, Risk management",2 days ago
Data Analyst with expertise in business analysis and sql,BCE Global Technology Centre,8-13 Yrs,Bengaluru,Business Intelligence Experience: experience in business intelligence-related functions.,"Data Analysis, Business Analysis, SQL, Data, Analysis",2 weeks ago
Senior Analyst Business Insights (Finance),Inmobi,2-4 Yrs,Bengaluru,"Bachelors/ Masters in a relevant field (e-g., Engineering, Business Administration, Sta...","anaplan, python, modeling, advanced excel, business insights, power bi, dashboards, Bi",3+ weeks ago
Sr Analyst I Finance Business Partner,DXC Technology,8-12 Yrs,Bengaluru,The key responsibilities and areas of focus are: 1. Ensure timely and accurate co...,"Cash collection, Social media, Finance, Billing, Revenue recognition, Strategic planning, Financial modelling, Operations",3+ weeks ago
"Financial Analyst Intern, Stores Finance",Amazon,,Bengaluru,,,Starts in 1-3 months
Senior Analyst - Business Insights (Finance),Inmobi,2-7 Yrs,Bengaluru,"bachelors/ masters in a relevant field (eg, Engineering, Business Administration, Stati...","Analyst, SAN, Financial statements, Consulting, Weaving, data visualization, Advertising, Financial modelling",3+ weeks ago
Sr Analyst II Finance Business Partner,DXC Technology,3-8 Yrs,Bengaluru,". Qualification and experience : Candidate should have a degree in Finance Bcom, Mcom, ...","Cash collection, Social media, Finance, Billing, Revenue recognition, Strategic planning, Financial modelling, Operations",3+ weeks ago
Business Analyst - Accounts Receivable Module,iRely,0-2 Yrs,Bengaluru,Experience in Product management Product Demonstrations . Good Communication Skills . E...,"Product management, Business process, Forex, MS SQL, Business Analyst, Diversity and Inclusion, Cash management, ERP implementation",3+ weeks ago
Business Analyst Intern,Infoweave,,Hybrid - Bengaluru,,,Starts within 1 month
Business Analyst-Accounts Receivable Module,iRely,0-2 Yrs,Bengaluru,"About iRely In 2008, iRely began selling its Commodity Management system to produ...","Product management, Business process, Forex, MS SQL, Diversity and Inclusion, Senior Business Analyst, Cash management, ERP implementation",3+ weeks ago
Business Analyst-Accounts Receivable,iRely,0-2 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","About iRely In 2008, iRely began selling its Commodity Management system to produ...","Product management, Business process, Forex, MS SQL, Diversity and Inclusion, Senior Business Analyst, Cash management, ERP implementation",3+ weeks ago
Business Analyst,ti Steps,0-2 Yrs,"Bengaluru, Hyderabad, Chennai","Requirements: . - Bachelors degree in Business, IT, or related field. - Strong analytic...","Business Analytics, Requirement Gathering, Workflow, Requirement Analysis, Business Analysis, Analytics, Requirements, Analysis",3 weeks ago
Data Research Analyst,Juego Studio,0-2 Yrs,Bengaluru,"This role is ideal for fresh graduates with degrees in Engineering, Science, or Commerc...","Online research, QA, Focus, Data collection, Data Research Analyst, Commerce, CRM management, Research",3+ weeks ago
Business Analyst,Incanus Technologies,0-4 Yrs,"Hybrid - Bengaluru, Hyderabad, Delhi / NCR",Define and communicate key metrics and trends to keep our team ahead of the curve. . Ma...,"Excel, SQL, Python, POWER bi, Bi, Business analysis",2 weeks ago
Business Analyst/Marketing Analyst,Modus Business Transformation Platform,0-5 Yrs,Hybrid - Bengaluru(Koramangala),We seek a Business Analyst skilled in client communication and act as a bridge to busin...,"marketing, Communication Skills, Presentation Skills, business analyst, Presentation, Business analysis, Market analysis",2 weeks ago
Business Analyst,Zolve Innovations,0-4 Yrs,Bengaluru,"Bachelors degree Experience working with data visualization tools such as Tableau, Powe...","Loans, Excel, Data modeling, Database design, Healthcare, Data quality, Analytics, SQL",3+ weeks ago
Business Analyst,WebSenor,0-2 Yrs,Bengaluru,Experience: 0 2 Years (Freshers with strong skills may apply) Attention to detail and s...,"PDF, Excel, Business Analyst, Analytical, SAAS, Agile methodology, JIRA, Documentation tools",3+ weeks ago
Operations Business Analyst,Saveo,0-4 Yrs,Bengaluru,". What were Looking For . Bachelors degree in Business Administration, Operations Manag...","Supply chain, Procurement, Data analysis, Change management, Project management, Process improvement, Analytical, Risk management",3+ weeks ago
Business Analyst Training,Bacentric,0-4 Yrs,"Bengaluru, Hyderabad, Pune, Chennai",Collaborate with business stakeholders to identify and understand business needs and ...,"Training, Customer Service, Business Analyst, Business analysis",3+ weeks ago
Business Analyst,Hexira Digital,0-2 Yrs,Bengaluru,"Bachelors degree in BusinessAdministration, Finance, ComputerScience, or a related fiel...","Computer science, Data analysis, Business analysis, Agile, Workflow, Project planning, Visio, Business intelligence",3+ weeks ago
Business Analyst Junior,Appzoc,0-1 Yrs,Bengaluru,AppZoc is looking for Business Analyst Junior to join our dynamic team and embark on a ...,"vendor management, project management, documentation, business analysis, process improvement, budgeting, strategic planning, operations",3+ weeks ago
Market Research Data Analyst,Robas Research,0-2 Yrs,Bengaluru,0 - 2 years of relevant work experience. .,"Usage, Market research, Data Analyst, Management, Analytics, Data analysis, Research, Data",3+ weeks ago
Internship For Business Analyst,Indsac Softech,,Bengaluru,,,Starts in 1-3 months
Business Analyst,Capitalxai,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Stay updated with the latest industry trends and advancements in AI and startup funding...,"Analytical skills, Market analysis, Business Analyst, Business analysis, Business Finance, Analytical, Machine learning, Market research",3+ weeks ago
Business Analyst,Vmock,0-2 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Qualification / Work Experience: Undergraduate degree from top-tier institute with 0-2 ...,"Analytical skills, Business Analyst, Customer satisfaction, Machine learning, Customer experience, Business intelligence, Content development, Analytics",3+ weeks ago
Intern/Jr Business Analyst,Stratycon Business Solutions Pvt Ltd,,Bengaluru,,,Starts in 1-3 months
Business Analyst Lead: Technical Support,Artex Risk Solutions,0-2 Yrs,Bengaluru,Coordinate across functional groups to review and interpret business issues and need...,"Business analysis, Project management, Consulting, Project planning, Business intelligence, Risk management, Technical support, Monitoring",3+ weeks ago
Business Analyst,NXG World,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",NXG is looking for Business Analyst to join our dynamic team and embark on a rewarding ...,"Business Analyst, Business analysis",3+ weeks ago
Business Analyst,Xiphias Software Technologies,0-3 Yrs,"Bengaluru, Bengaluru",Job Description: The opening is for a sales and business development position who will ...,"closing, cold calling, dealing, prospecting, client development, new business, preparing mis, telesales",3+ weeks ago
Business Analyst,LeadWinner,0-2 Yrs,Bengaluru,"Required Skills . Strong expertise with HTML, CSS, and writing cross-browser compatible...","Front end, DOM, Web services, Time management, Javascript, HTML, Application development, MVC",3+ weeks ago
Internship For Business Analyst,Indsac Softech,,Bengaluru,,,Starts in 1-3 months
Business Analyst,Arokia It,0-2 Yrs,Bengaluru,Basic knowledge on Testing . Good Knowledge in SQL Database .,"SQL database, Business Analyst, Conflict management, Time management, Analytical, Customer service, Testing, Software testing",3+ weeks ago
Business Analyst,Appsource Services,0-3 Yrs,Bengaluru,Extract requirements - Requirements play a key part in engineering IT systems. Incomp...,"Translation, Business Analyst, Investment research, Time management, Inspection, System development, Research, Management",3+ weeks ago
Senior Analyst,Deloitte Consulting,0-1 Yrs,Bengaluru,. Professional should be able to work in hybrid model from office / client officeCollab...,"Business process, ERP, Assurance, SAP, Cisa, Analytical, ISO 27001, Manager Quality Control",3+ weeks ago
Analyst - Business Systems,Apex Group,0-2 Yrs,"Bengaluru, Pune","Designation: Associate . Industry / Domain: ITIL, SOC Audit, IAM, User Provisioning, IT...","Application support, Manager Internal Audit, Automation, Talent acquisition, Process improvement, Analytical, Troubleshooting, Recruitment",3+ weeks ago
Associate Business Analyst,Signzy,0-1 Yrs,Bengaluru,. Read and interpret project requirement documents to identify necessary implementation...,"Business process, Networking, Bfsi, MySQL, System integration, Javascript, Gap analysis, MongoDB",3+ weeks ago
Trainee Business Analyst - JD Edwards,JB Poindexter & Co,,Bengaluru,,,Starts in 1-3 months
Business Intelligence Analyst,ti Steps,0-2 Yrs,"Bengaluru, Hyderabad, Chennai","Bachelors or master s degree in business Analytics, Statistics, or related fieldExperie...","Excel, Power Bi, Visualization Tools, Data Modeling, SQL, Azure Cloud, Microsoft Azure, Intelligence",2 weeks ago
Business Analyst,Xiphias Software Technologies,0-3 Yrs,Bengaluru,The opening is for a sales and business development position who will be responsib...,"Cold calling, Client development, Business Analyst, Telesales, Scheduling, MIS preparation, Management, Business Executive",3+ weeks ago
Associate / Analyst - Wholesale Business,Credit Saison,0-2 Yrs,Bengaluru,. - CA/ MBA / any other postgraduate degree related to finance or related areas . - 0-2...,"Financial statements, Due diligence, Associate Analyst, Financial analysis, Cash flow statement, Credit assessment, Financial modelling, SME finance",3+ weeks ago
Data Analyst (Kannada Speakers),Peroptyx,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","The flexibility of our roles minimizes the impact on your daily routine, So, whether yo...","repair, research analysis, teaching, training, analysis, research, sales, automobile",1 day ago
Data Analyst (Punjabi Speakers),Peroptyx,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","The flexibility of our roles minimizes the impact on your daily routine, So, whether yo...","repair, research analysis, teaching, training, analysis, research, sales, automobile",1 day ago
Data Analyst (Odia Speakers),Peroptyx,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","The flexibility of our roles minimizes the impact on your daily routine, So, whether yo...","repair, research analysis, teaching, training, analysis, research, sales, automobile",1 day ago
Data Analyst (Marathi Speakers),Peroptyx,0-3 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai","The flexibility of our roles minimizes the impact on your daily routine, So, whether yo...","repair, research analysis, teaching, training, analysis, research, sales, automobile",1 day ago
Senior Business Analyst - Digital Transformation & AI,TE Connectivity,6-11 Yrs,Bengaluru,"Bachelors or Masters degree in Information Technology, Computer Science, Business Admin...","it business analysis, data analysis, data analytics, stakeholder management, analysis tools, rpa, natural language processing, gap analysis",1 week ago
Senior Business Analyst,Equiniti India,12-14 Yrs,Bengaluru,"Senior Analysts have a good understanding of the user-base and its needs, and utilise s...","Delivery management, Business Analyst, Business analysis, Agile, Business process mapping, Scrum, Continuous improvement, Release management",4 days ago
Senior Business Analyst,Equiniti India,12-14 Yrs,Bengaluru,. Benefits: . 3 days of additional leaves on & above statutory requirement along with 2...,"Delivery management, Business Analyst, Business analysis, Agile, Business process mapping, Scrum, Continuous improvement, Release management",4 days ago
Senior Business Analyst,Meesho,2-7 Yrs,Bengaluru,. Must have skills,"advance sql, python, business analysis, sql, advanced excel, project management, business management, business development",1 week ago
SAP Commerce Senior Business Analyst,Robert Bosch Engineering and Business Solutions Private Limited,10-15 Yrs,"Bengaluru, Hosur",Minimum 10 Years of Experience as Business Analyst or Product Owner Role for SAP Commer...,"Order management, Product management, data cleansing, ERP, SAP, Data management, Consulting, Customer support",1 week ago
Business Advisory Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation a strong ability to analyze data to identify actionable...,"business advisory, sql, core banking, consumer banking, quantitative analysis, management consulting, retail banking, project management",2 weeks ago
Technology and Transformation - EAD-AI/ML-Generative AI-Analyst,Deloitte Consulting,0-5 Yrs,Bengaluru,Location: Bengaluru Designation: Analyst ...,"Data analysis, Senior Analyst, Machine learning, Manager Technology, Technology management, Machine, Data, Transformation",3 days ago
Senior Specialist - Business Analysis,Mindtree,7-11 Yrs,"Bengaluru, Noida, Kolkata, Mumbai, Hyderabad, Chennai, Coimbatore",About Company We are a leading global technology company known for our innovative s...,"Version control, Business Analyst, Business analysis, Financial sector, business rules, Pega, Scrum, data mapping",1 week ago
Senior Specialist - Business Analysis,Mindtree,7-11 Yrs,"Bengaluru, Mumbai, Navi Mumbai, Hyderabad, Pune, Chennai",Pega Certified Business Architect certification is mandatoryThe ideal candidate should ...,"Version control, Business Analyst, Business analysis, Financial sector, business rules, Pega, Scrum, data mapping",1 week ago
Senior Technical Business Analyst,Citiustech,5-9 Yrs,"Hybrid - Bengaluru, Pune, Chennai","Bachelors in Health Informatics, Computer Science, or Healthcare Administration Preferr...","Requirement Gathering, User Stories, Requirement Analysis, Technical Documentation, Business Requirement Analysis, Api Documentation, business system analyst, API",1 week ago
Business Interlock Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Skill required: Talent Development - Instructor-Led Training (ILT). .,"talent development, case management, compensation, acquisition, training need analysis, pega prpc, employee relations, business analysis",1 week ago
"Business Operations Analyst, Senior",Qualcomm,6-11 Yrs,Bengaluru,General Summary:About GBFS Team: The Global Business and Finance Support (GBFS) team pr...,"multitasking, erp systems, vba, advanced excel, business operations, advexcel, erp, sap",1 week ago
Business Advisory Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation . Years of Experience: 5 to 8 years Skill required: Fina...,"risk management, business advisory, accounting, corporate planning, corporate strategy, management consulting, project management, business strategy",1 week ago
Business Advisory Senior Analyst,Accenture,5-8 Yrs,Bengaluru,Qualifications: Any Graduation . Years of Experience: 5 to 8 years Skill required: Supp...,"supply chain, business advisory, master data management, mdm, corporate strategy, management consulting, project management, business strategy",1 week ago
Business Advisory Senior Analyst,Accenture,5-8 Yrs,Bengaluru,"Qualifications: Any Graduation Using the voice of the customer, our team advocates for ...","project management, system management, business advisory, core banking, corporate strategy, management consulting, business strategy, business analysis",2 weeks ago
Technical Analyst 1-Support,Oracle,0-2 Yrs,Bengaluru,Readiness to work during the shift from 5:30 PM to 2:30 AM ISTProspective employees nee...,"problem management, change management, customer support, incident management, application support, accounts payable, sap, purchase",5 days ago
Technical Analyst 1-Support,Oracle,0-2 Yrs,Bengaluru,Basic Qualifications:A minimum of Six months experience and a bachelors degree includin...,"problem management, change management, customer support, incident management, application support, accounts payable, sap, purchase",5 days ago
Regulatory Filtering Analyst,Deutsche Bank,0-5 Yrs,"Hybrid - Bengaluru, Jaipur",Role DescriptionRegulatory Operations is responsible for defining and implementing pro...,"Sanction Screening, Swift, Sanction, Transaction Screening, Screening, Aml, Payments, Swift Messaging",1 week ago
Intern Analyst,Wells Fargo,0-2 Yrs,"Bengaluru, Hyderabad",Participate in formal internship program and workshops for low complexity initiatives w...,"Risk Management, Proactive Monitoring, Customer Relationship, Problem Management, Incident Management, Regulatory Compliance, Risk Identification, Relationship",4 days ago
Senior Business Intelligence Analyst,TE Connectivity,4-6 Yrs,Bengaluru,"Develop advanced Excel solutions, including macros and VBA scripting, for automation an...","dashboard development, power bi, sql, tableau, data visualization, macros, software development, sql queries",1 week ago
"Business Research Analyst I, ARTS",Amazon,2-7 Yrs,Bengaluru,"Scoping, driving and delivering complex projects across multiple teams. Performs ro...","Supply chain, Data analysis, SAS, Business analysis, Data modeling, Workflow, Oracle, Continuous improvement",3 weeks ago
"Business Research Analyst - I, ARTS",Amazon,3-6 Yrs,Bengaluru,The Business research Analyst will be responsible for continuous improvement projects ...,"Supply chain, Data analysis, SAS, Business analysis, Data modeling, Workflow, Oracle, Continuous improvement",3+ weeks ago
"Business Research Analyst - II, RBS",Amazon,4-9 Yrs,Bengaluru,"As a Research Analyst, youll collaborate with experts to develop and own advance machin...","Supply chain, Computer vision, Business analysis, Project management, Analytical, Machine learning, Data mining, SQL",3+ weeks ago
"Business Research Analyst-II, RBS Size/Fit",Amazon,3-6 Yrs,Bengaluru,"Bachelors degree in Quantitative or STEM disciplines (Science, Technology, Engineering,...","Product management, Computer vision, Business Research Analyst, Business analysis, Project management, Analytical, Machine learning, Data mining",3+ weeks ago
"Business Research Analyst, RBS",Amazon,1-6 Yrs,Bengaluru,"Bachelors degree in Quantitative or STEM disciplines (Science, Technology, Engineering,...","Product management, Supply chain, Business analysis, Project management, Analytical, Machine learning, Data mining, SQL",3+ weeks ago
"Business Research Analyst - II, RBS ACCX Program",Amazon,3-8 Yrs,Bengaluru,Amazon.com strives to be Earths most customer-centric company where people can find a...,"Automation, Data analysis, SAS, Data modeling, Machine learning, Agile, Oracle, Data mining",3+ weeks ago
"Business Research Analyst - II, RBS Tech",Amazon,3-8 Yrs,Bengaluru,"Bachelors degree in Quantitative or STEM disciplines (Science, Technology, Engineering,...","Product management, Business analysis, Project management, Analytical, Machine learning, Data mining, Release management, SQL",3+ weeks ago
Business Research Analyst,Amazon,3-8 Yrs,Bengaluru,"As a Research Analyst, youll collaborate with experts to develop cutting-edge ML and Ge...","Computer vision, Operational excellence, Business Research Analyst, Analytical, Machine learning, Junior Research Analyst, Release management, SQL",2 weeks ago
Analyst - Finance Advisory,KPMG India,0-3 Yrs,Bengaluru,KPMG India is looking for Analyst - Finance Advisory Analyst - Finance Advisory to join...,"python, data analysis, team management, management skills, windows xp, us healthcare, presentation skills, business analysis",3 weeks ago
DE&A - Core - Advanced Data Engineering - Business Analyst,Zensar,2-5 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Key Responsibilities: Data Collection and Analysis: Mark...,"Analytical skills, Data analysis, Software packages, SAS, Analytical, Data collection, Market research, Statistical software",3 weeks ago
"Financial Analyst I, FOAA Payroll Accounting team",Amazon,0-4 Yrs,Bengaluru,"Amazons Finance Operations, Accounting & Analysis (FOAA) team is a fast-paced, team-f...","Data analysis, Payroll, Excel, Financial reporting, Project management, Reconciliation, Financial planning, Oracle",3+ weeks ago
Analyst III Finance Information System,DXC Technology,0-1 Yrs,Bengaluru,"Demonstrate a willingness to learn and adapt in a dynamic team environment. Typically, ...","information system, Basic, Data analysis, Data management, Cisa, System maintenance, Financial reporting, Social media",2 weeks ago
Analyst - Finance Advisory,KPMG India,0-3 Yrs,Bengaluru,KPMG India is looking for Analyst - Finance Advisory to join our dynamic team and embar...,"Networking, Focus, Manager Technology, Financial Analyst, professional services, international clients, Advisory, Auditing",3 weeks ago
"Financial Analyst Intern, Accounting",Amazon,,Bengaluru,,,Starts in 1-3 months
Financial Controller - Analyst,JPMorgan Chase Bank,0-6 Yrs,Bengaluru,You are a strategic thinker passionate about ensuring the accuracy and integrity of fi...,"Analytical skills, Front office, Financial control, Operating systems, Accounting, Finance, Reconciliation, Database",2 weeks ago
Financial Analyst,eClerx,0-1 Yrs,Bengaluru,Graduates and Post Graduates can only apply after getting all Sem Hardcopy Mark sheets ...,"Investment Banking, Good Communication In English, Kyc Aml, Finance, Fresher, Derivatives, KYC, English",3+ weeks ago
Analyst | Strategy | Finance Transformation,Deloitte Consulting,0-2 Yrs,Bengaluru,Deloitte is looking for Analyst | Strategy | Finance Transformation to join our dynamic...,"Senior Analyst, Finance, Analysis, Financial transformation, Transformation, Senior",2 weeks ago
"Business Analyst - II, Selling Partner Support",Amazon,3-8 Yrs,Bengaluru,Experience defining requirements and using data and metrics to draw business insights E...,"Business Analyst, Financial analysis, Analytical, Machine learning, Analyst II, data visualization, Data mining, Operations",1 day ago
"Business Functional Analyst, AVP",Deutsche Bank,6-11 Yrs,Bengaluru,"About The Role : Job Title- Business Functional Analyst, AVPLocation- Bangalore, India...","python, data manipulation, sql, data visualization, agile methodology, bpmn, project management, confluence",1 day ago
Technical Business Analyst,TEKsystems,8-13 Yrs,Hybrid - Bengaluru,"Financial Services Industry Experience, preferably Fraud Management with Payments or Di...","Api Documentation, XML, Api Integration, SQL, API Exceptions, JSON, Data Mapping, Data",1 day ago
"HCM Business Advisory Analyst, NCT",Deutsche Bank,1-4 Yrs,Bengaluru,About The Role : In Scope of Position based Promotions (INTERNAL only)Job Title: HCM B...,"oracle, business advisory, servicenow, hcm, oracle peoplesoft, accounts receivable, accounts payable, erp",1 day ago
HCM Business Advisory Analyst Offbording Team,Deutsche Bank,2-6 Yrs,Bengaluru,In Scope of Position based Promotions (INTERNAL only) . Job TitleHCM Business Advisory ...,"business advisory, hcm, corporate planning, advanced excel, corporate strategy, management consulting, project management, business strategy",1 day ago
"HCM Business Advisory Analyst Offboarding Team, AS",Deutsche Bank,2-6 Yrs,Bengaluru,In Scope of Position based Promotions (INTERNAL only) . Job Title- HCM Business Advisor...,"business advisory, hcm, corporate planning, advanced excel, corporate strategy, management consulting, project management, business strategy",1 day ago
Business Analyst - L4,Wipro,5-8 Yrs,Bengaluru,Experience: 5-8 Years . .,"project management, business analysis, root cause analysis, integration testing, rfp, charts, client engagement, test cases",1 day ago
Business Analyst- P&C Domain - Location- PAN India,Cognizant,3-8 Yrs,"Bengaluru, Gurugram, Chennai","JOB DESCRIPTIONWe have various roles in Cognizant Consulting Insurance (P&C, Life & An...","General Insurance, Property And Casualty Insurance, Business Analysis, Property, Property, P, C, General",1 day ago
T&T | Manager | Business Analyst,Deloitte Consulting,8-10 Yrs,Bengaluru,We are seeking highly skilled management consultant with proven track rec...,"demand estimation, Business administration, Semiconductor, big data analytics, Demand forecasting, Consulting, Machine learning, Manager Technology",1 day ago
Business Analysts/Product Owner,HARMAN,6-10 Yrs,Bengaluru,"Bachelor s / Master s in Engineering, Computer Science, Cybersecurity, or related field...","project management, cyber security, gap analysis, documentation, customer engagement, business analysis, uat, networking",1 day ago
ERP HCM Business Analyst,Hexaware Technologies,9-12 Yrs,"Bengaluru, Pune, Chennai",Minimum 9-12 yrs of experience as a PeopleSoft FSCM technical-functional consultant . H...,"peopletools, application engine, integration broker, peoplesoft, peoplecode, rest, erp, peoplesoft technical",3 days ago
Opportunity For ServiceNow -Business Analyst- Manager - PAN India,Genpact,8-13 Yrs,"Bengaluru, Pune, Delhi / NCR",Genpact (NYSE: G) is a global professional services and solutions firm delivering outco...,"Business Analytics, Servicenow, JIRA, ITIL, Business analysis, Pan, Analytics, Management",1 day ago
Associate Research Analyst,Clarivate,0 Yrs,Bengaluru,. Bachelors degree or equivalent in a relevant field (masters or advanced degree prefer...,"research analysis, research reports, secondary research, ms office suite, research methodology, proposal writing, equity research, market research",2 weeks ago
